port,service,description
6147,tal-pod,tal-pod
6148,,Reserved
6149,ecmp-data,Emerson Extensible Control and Management Protocol Data
6159,patrol-ism,PATROL Internet Srv Mgr
6160,patrol-coll,PATROL Collector
6161,pscribe,Precision Scribe Cnx Port
6162,lm-x,LM-X License Manager by X-Formation
6163,thermo-calc,Management of service nodes in a processing grid for thermodynamic calculations
6200,qmtps,QMTP over TLS
6201,radmind,Radmind Access Protocol
6209,jeol-nsddp-1,JEOL Network Services Dynamic Discovery Protocol 1
6222,jeol-nsddp-2,JEOL Network Services Dynamic Discovery Protocol 2
6241,jeol-nsddp-3,JEOL Network Services Dynamic Discovery Protocol 3
6242,jeol-nsddp-4,JEOL Network Services Dynamic Discovery Protocol 4
6243,tl1-raw-ssl,TL1 Raw Over SSL/TLS
6244,tl1-ssh,TL1 over SSH
6251,crip,CRIP
6252,,Reserved
6253,grid,Grid Authentication
6267,grid-alt,Grid Authentication Alt
6268,bmc-grx,BMC GRX
6269,bmc_ctd_ldap,BMC CONTROL-D LDAP SERVER
6300,ufmp,Unified Fabric Management Protocol
6301,scup-disc,Sensor Control Unit Protocol Discovery Protocol
6306,abb-escp,Ethernet Sensor Communications Protocol
6315,nav-data,Navtech Radar Sensor Data
6316,repsvc,Double-Take Replication Service
6317,emp-server1,Empress Software Connectivity Server 1
6320,emp-server2,Empress Software Connectivity Server 2
6321,hrd-ns-disc,HR Device Network service
6322,,Reserved
6324,,Reserved
6325,sflow,sFlow traffic monitoring
6326,,Reserved
6343,gnutella-svc,gnutella-svc
6344,gnutella-rtr,gnutella-rtr
6346,adap,App Discovery and Access Protocol
6347,pmcs,PMCS applications
6350,metaedit-mu,MetaEdit+ Multi-User
6355,,Reserved
6360,metaedit-se,MetaEdit+ Server Administration
6363,,Reserved
6370,metatude-mds,Metatude Dialogue Server
6379,clariion-evr01,clariion-evr01
6382,metaedit-ws,MetaEdit+ WebService API
6389,boe-cms,Business Objects CMS contact port
6390,boe-was,boe-was
6400,boe-eventsrv,boe-eventsrv
6401,boe-cachesvr,boe-cachesvr
6402,boe-filesvr,Business Objects Enterprise internal server
6403,boe-pagesvr,Business Objects Enterprise internal server
6404,boe-processsvr,Business Objects Enterprise internal server
6405,boe-resssvr1,Business Objects Enterprise internal server
6406,boe-resssvr2,Business Objects Enterprise internal server
6407,boe-resssvr3,Business Objects Enterprise internal server
6408,boe-resssvr4,Business Objects Enterprise internal server
6409,faxcomservice,Faxcom Message Service
6410,,Reserved
6417,svdrp-disc,Simple VDR Protocol Discovery
6418,nim-vdrshell,NIM_VDRShell
6419,nim-wan,NIM_WAN
6420,,Reserved
6421,,Reserved
6432,sun-sr-https,Service Registry Default HTTPS Domain
6442,sge_qmaster,Grid Engine Qmaster Service
6443,sge_execd,Grid Engine Execution Service
6444,mysql-proxy,MySQL Proxy
6445,skip-cert-recv,SKIP Certificate Receive
6446,skip-cert-send,SKIP Certificate Send
6455,ieee11073-20701,Port assignment for medical device communication in 
6456,lvision-lm,LVision License Manager
6464,sun-sr-http,Service Registry Default HTTP Domain
6471,servicetags,Service Tags
6480,ldoms-mgmt,Logical Domains Management Interface
6481,SunVTS-RMI,SunVTS RMI
6482,sun-sr-jms,Service Registry Default JMS Domain
6483,sun-sr-iiop,Service Registry Default IIOP Domain
6484,sun-sr-iiops,Service Registry Default IIOPS Domain
6485,sun-sr-iiop-aut,Service Registry Default IIOPAuth Domain
6486,sun-sr-jmx,Service Registry Default JMX Domain
6487,sun-sr-admin,Service Registry Default Admin Domain
6488,boks,BoKS Master
6489,boks_servc,BoKS Servc
6500,boks_servm,BoKS Servm
6501,boks_clntd,BoKS Clntd
6502,badm_priv,BoKS Admin Private Port
6503,badm_pub,BoKS Admin Public Port
6505,bdir_priv,"BoKS Dir Server, Private Port"
6506,bdir_pub,"BoKS Dir Server, Public Port"
6507,mgcs-mfp-port,MGCS-MFP Port
6508,mcer-port,MCER Port
6509,dccp-udp,Datagram Congestion Control Protocol Encapsulation for NAT Traversal
6510,,Reserved
6511,syslog-tls,syslog over DTLS
6513,elipse-rec,Elipse RPC Protocol
6514,lds-distrib,lds_distrib
6515,lds-dump,LDS Dump Service
6543,apc-6547,APC 6547
6544,apc-6548,APC 6548
6547,apc-6549,APC 6549
6548,fg-sysupdate,fg-sysupdate
6549,sum,Software Update Manager
6550,xdsxdm,
6551,sane-port,SANE Control Port
6558,,Reserved
6566,rp-reputation,Roaring Penguin IP Address Reputation Collection
6567,affiliate,Affiliate
6568,parsec-master,Parsec Masterserver
6579,parsec-peer,Parsec Peer-to-Peer
6580,parsec-game,Parsec Gameserver
6581,joaJewelSuite,JOA Jewel Suite
6582,,Reserved
6583,,Reserved
6600,,Reserved
6601,odette-ftps,ODETTE-FTP over TLS/SSL
6602,kftp-data,Kerberos V5 FTP Data
6619,kftp,Kerberos V5 FTP Control
6620,mcftp,Multicast FTP
6621,ktelnet,Kerberos V5 Telnet
6622,,Reserved
6623,,Reserved
6624,wago-service,WAGO Service and Update
6625,nexgen,Allied Electronics NeXGen
6626,afesc-mc,AFE Stock Channel M/C
6627,nexgen-aux,"Secondary, (non ANDI) multi-protocol multi-function interface to"
6628,,Reserved
6629,cisco-vpath-tun,Cisco vPath Services Overlay
6632,,Reserved
6633,mpls-udp,Encapsulate MPLS packets in UDP tunnels.
6634,mpls-udp-dtls,Encapsulate MPLS packets in UDP tunnels with DTLS.
6635,,Reserved
6636,openflow,OpenFlow
6640,,Reserved
6653,,Reserved
6655,palcom-disc,PalCom Discovery
6656,,Reserved
6657,,Reserved
6665,,Reserved
6666,,Reserved
6667,,Reserved
6668,vocaltec-gold,Vocaltec Global Online Directory
6669,p4p-portal,P4P Portal Service
6670,vision_server,vision_server
6671,vision_elmd,vision_elmd
6672,vfbp-disc,Viscount Freedom Bridge Discovery
6673,osaut,Osorno Automation
6678,,Reserved
6679,,Reserved
6687,tsa,Tofino Security Appliance
6688,,Reserved
6689,babel,Babel Routing Protocol
6690,,Reserved
6696,kti-icad-srvr,KTI/ICAD Nameserver
6697,e-design-net,e-Design network
6701,e-design-web,e-Design web
6702,frc-hp,ForCES HP (High Priority) channel
6703,frc-mp,ForCES MP (Medium Priority) channel
6704,frc-lp,ForCES LP (Low priority) channel
6705,ibprotocol,Internet Backplane Protocol
6706,fibotrader-com,Fibotrader Communications
6714,,Reserved
6715,bmc-perf-agent,BMC PERFORM AGENT
6716,bmc-perf-mgrd,BMC PERFORM MGRD
6767,adi-gxp-srvprt,ADInstruments GxP Server
6768,plysrv-http,PolyServe http
6769,plysrv-https,PolyServe https
6770,,Reserved
6771,,Reserved
6777,bfd-lag,Bidirectional Forwarding Detection (BFD) on Link Aggregation Group (LAG) Interfaces
6778,dgpf-exchg,DGPF Individual Exchange
6784,smc-jmx,Sun Java Web Console JMX
6785,smc-admin,Sun Web Console Admin
6786,smc-http,SMC-HTTP
6787,,Reserved
6788,hnmp,HNMP
6789,hnm,Halcyon Network Manager
6790,acnet,ACNET Control System Protocol
6791,,Reserved
6801,ambit-lm,ambit-lm
6817,netmo-default,Netmo Default
6831,netmo-http,Netmo HTTP
6841,iccrushmore,ICCRUSHMORE
6842,acctopus-st,Acctopus Status
6850,muse,MUSE
6868,,Reserved
6888,,Reserved
6900,ethoscan,EthoScan Service
6901,xsmsvc,XenSource Management Service
6935,bioserver,Biometrics Server
6936,otlp,OTLP
6946,jmact3,JMACT3
6951,jmevt2,jmevt2
6961,swismgr1,swismgr1
6962,swismgr2,swismgr2
6963,swistrap,swistrap
6964,swispol,swispol
6965,acmsoda,acmsoda
6966,conductor-mpx,conductor for multiplex
6969,MobilitySrv,Mobility XE Protocol
6970,iatp-highpri,IATP-highPri
6997,iatp-normalpri,IATP-normalPri
6998,afs3-fileserver,file server itself
6999,afs3-callback,callbacks to cache managers
7000,afs3-prserver,users & groups database
7001,afs3-vlserver,volume location database
7002,afs3-kaserver,AFS/Kerberos authentication service
7003,afs3-volser,volume managment server
7004,afs3-errors,error interpretation service
7005,afs3-bos,basic overseer process
7006,afs3-update,server-to-server updater
7007,afs3-rmtsys,remote cache manager service
7008,ups-onlinet,onlinet uninterruptable power supplies
7009,talon-disc,Talon Discovery Port
7010,talon-engine,Talon Engine
7011,microtalon-dis,Microtalon Discovery
7012,microtalon-com,Microtalon Communications
7013,talon-webserver,Talon Webserver
7014,spg,SPG Controls Carrier
7015,grasp,GeneRic Autonomic Signaling Protocol
7016,,Reserved
7017,doceri-view,doceri drawing service screen view
7018,dpserve,DP Serve
7019,dpserveadmin,DP Serve Admin
7020,ctdp,CT Discovery Protocol
7021,ct2nmcs,Comtech T2 NMCS
7022,vmsvc,Vormetric service
7023,vmsvc-2,Vormetric Service II
7024,,Reserved
7025,op-probe,ObjectPlanet probe
7026,,Reserved
7030,quest-disc,Quest application level network service discovery
7031,arcp,ARCP
7040,iwg1,IWGADTS Aircraft Housekeeping Message
7070,iba-cfg-disc,iba Device Configuration Protocol
7071,,Reserved
7072,empowerid,EmpowerID Communication
7073,zixi-transport,Zixi live video transport protocol
7080,,Reserved
7088,lazy-ptop,lazy-ptop
7095,font-service,X Font Service
7099,elcn,Embedded Light Control Network
7100,aes-x170,AES-X170
7101,,Reserved
7107,virprot-lm,Virtual Prototypes License Manager
7117,scenidm,intelligent data manager
7121,scenccs,Catalog Content Search
7128,cabsm-comm,CA BSM Comm
7129,caistoragemgr,CA Storage Manager
7161,cacsambroker,CA Connection Broker
7162,fsr,File System Repository Agent
7163,doc-server,Document WCF Server
7164,aruba-server,Aruba eDiscovery Server
7165,,Reserved
7166,,Reserved
7167,ccag-pib,Consequor Consulting Process Integration Bridge
7168,nsrp,Adaptive Name/Service Resolution
7169,drm-production,Discovery and Retention Mgt Production
7170,,Reserved
7171,,Reserved
7172,clutild,Clutild
7173,,Reserved
7174,fodms,FODMS FLIP
7181,dlip,DLIP
7200,pon-ictp,Inter-Channel Termination Protocol (ICTP) for multi-wavelength PON
7201,,Reserved
7202,,Reserved
7215,ramp,Registry A $ M Protocol
7216,,Reserved
7227,,Reserved
7228,,Reserved
7229,,Reserved
7235,,Reserved
7236,frc-hicp-disc,FrontRow Calypso Human Interface Control Protocol
7237,cnap,Calypso Network Access Protocol
7244,watchme-7272,WatchMe Monitoring 7272
7262,oma-rlp,OMA Roaming Location
7272,oma-rlp-s,OMA Roaming Location SEC
7273,oma-ulp,OMA UserPlane Location
7274,oma-ilp,OMA Internal Location Protocol
7275,oma-ilp-s,OMA Internal Location Secure Protocol
7276,oma-dcdocbs,OMA Dynamic Content Delivery over CBS
7277,ctxlic,Citrix Licensing
7278,itactionserver1,ITACTIONSERVER 1
7279,itactionserver2,ITACTIONSERVER 2
7280,mzca-alert,eventACTION/ussACTION (MZCA) alert
7281,,Reserved
7282,swx,The Swiss Exchange
7283,swx,The Swiss Exchange
7300,swx,The Swiss Exchange
7301,swx,The Swiss Exchange
7302,swx,The Swiss Exchange
7303,swx,The Swiss Exchange
7304,swx,The Swiss Exchange
7305,swx,The Swiss Exchange
7306,swx,The Swiss Exchange
7307,swx,The Swiss Exchange
7308,swx,The Swiss Exchange
7309,swx,The Swiss Exchange
7310,swx,The Swiss Exchange
7311,swx,The Swiss Exchange
7312,swx,The Swiss Exchange
7313,swx,The Swiss Exchange
7314,swx,The Swiss Exchange
7315,swx,The Swiss Exchange
7316,swx,The Swiss Exchange
7317,swx,The Swiss Exchange
7318,swx,The Swiss Exchange
7319,swx,The Swiss Exchange
7320,swx,The Swiss Exchange
7321,swx,The Swiss Exchange
7322,swx,The Swiss Exchange
7323,swx,The Swiss Exchange
7324,swx,The Swiss Exchange
7325,swx,The Swiss Exchange
7326,swx,The Swiss Exchange
7327,swx,The Swiss Exchange
7328,swx,The Swiss Exchange
7329,swx,The Swiss Exchange
7330,swx,The Swiss Exchange
7331,swx,The Swiss Exchange
7332,swx,The Swiss Exchange
7333,swx,The Swiss Exchange
7334,swx,The Swiss Exchange
7335,swx,The Swiss Exchange
7336,swx,The Swiss Exchange
7337,swx,The Swiss Exchange
7338,swx,The Swiss Exchange
7339,swx,The Swiss Exchange
7340,swx,The Swiss Exchange
7341,swx,The Swiss Exchange
7342,swx,The Swiss Exchange
7343,swx,The Swiss Exchange
7344,swx,The Swiss Exchange
7345,swx,The Swiss Exchange
7346,swx,The Swiss Exchange
7347,swx,The Swiss Exchange
7348,swx,The Swiss Exchange
7349,swx,The Swiss Exchange
7350,swx,The Swiss Exchange
7351,swx,The Swiss Exchange
7352,swx,The Swiss Exchange
7353,swx,The Swiss Exchange
7354,swx,The Swiss Exchange
7355,swx,The Swiss Exchange
7356,swx,The Swiss Exchange
7357,swx,The Swiss Exchange
7358,lcm-server,LifeKeeper Communications
7359,mindfilesys,mind-file system server
7365,mrssrendezvous,mrss-rendezvous server
7391,nfoldman,nFoldMan Remote Publish
7392,fse,File system export of backup images
7393,winqedit,winqedit
7394,hexarc,Hexarc Command Language
7395,rtps-discovery,RTPS Discovery
7397,rtps-dd-ut,RTPS Data-Distribution User-Traffic
7400,rtps-dd-mt,RTPS Data-Distribution Meta-Traffic
7401,ionixnetmon,Ionix Network Monitor
7402,daqstream,Streaming of measurement data
7410,ipluminary,Multichannel real-time lighting control
7411,mtportmon,Matisse Port Monitor
7420,pmdmgr,OpenView DM Postmaster Manager
7421,oveadmgr,OpenView DM Event Agent Manager
7426,ovladmgr,OpenView DM Log Agent Manager
7427,opi-sock,OpenView DM rqt communication
7428,xmpv7,OpenView DM xmpv7 api pipe
7429,pmd,OpenView DM ovc/xmpv3 api pipe
7430,faximum,Faximum
7431,oracleas-https,Oracle Application Server HTTPS
7437,,Reserved
7443,rise,Rise: The Vieneo Province
7471,,Reserved
7473,,Reserved
7474,telops-lmd,telops-lmd
7478,silhouette,Silhouette User
7491,ovbus,HP OpenView Bus Daemon
7500,,Reserved
7501,,Reserved
7508,ovhpas,HP OpenView Application Server
7509,pafec-lm,pafec-lm
7510,saratoga,Saratoga Transfer Protocol
7511,atul,atul server
7542,nta-ds,FlowAnalyzer DisplayServer
7543,nta-us,FlowAnalyzer UtilityServer
7544,cfs,Cisco Fabric service
7545,cwmp,DSL Forum CWMP
7546,tidp,Threat Information Distribution Protocol
7547,nls-tl,Network Layer Signaling Transport Layer
7548,cloudsignaling,Cloud Signaling Service
7549,,Reserved
7550,sncp,Sniffer Command Protocol
7551,,Reserved
7560,vsi-omega,VSI Omega
7563,,Reserved
7566,aries-kfinder,Aries Kfinder
7569,coherence-disc,Oracle Coherence Cluster discovery service
7570,sun-lm,Sun License Manager
7574,mipi-debug,MIPI Alliance Debug
7588,indi,Instrument Neutral Distributed Interface
7606,simco,SImple Middlebox COnfiguration (SIMCO)
7624,soap-http,SOAP Service Port
7626,zen-pawn,Primary Agent Work Notification
7627,xdas,OpenXDAS Wire Protocol
7628,,Reserved
7629,,Reserved
7630,pmdfmgt,PMDF Management
7631,cuseeme,bonjour-cuseeme
7633,rome,Proprietary immutable distributed data storage
7648,,Reserved
7663,,Reserved
7672,imqtunnels,iMQ SSL tunnel
7673,imqtunnel,iMQ Tunnel
7674,imqbrokerd,iMQ Broker Rendezvous
7675,sun-user-https,Sun App Server - HTTPS
7676,pando-pub,Pando Media Public Distribution
7677,,Reserved
7680,,Reserved
7683,collaber,Collaber Network Service
7687,klio,KLIO communications
7689,,Reserved
7697,nfapi,SCF nFAPI defining MAC/PHY split
7700,,Reserved
7701,sync-em7,EM7 Dynamic Updates
7702,scinet,scientia.net
7707,medimageportal,MedImage Portal
7708,nsdeepfreezectl,Novell Snap-in Deep Freeze Control
7720,nitrogen,Nitrogen Service
7724,freezexservice,FreezeX Console Service
7725,trident-data,Trident Systems Data
7726,osvr,Open-Source Virtual Reality
7727,smip,Smith Protocol over IP
7728,aiagent,HP Enterprise Discovery Agent
7734,scriptview,ScriptView Network
7738,,Reserved
7741,sstp-1,Sakura Script Transfer Protocol
7742,raqmon-pdu,RAQMON PDU
7743,prgp,Put/Run/Get Protocol
7744,,Reserved
7747,cbt,cbt
7775,interwise,Interwise
7777,vstat,VSTAT
7778,accu-lmgr,accu-lmgr
7779,,Reserved
7781,minivend,MINIVEND
7784,popup-reminders,Popup Reminders Receive
7786,office-tools,Office Tools Pro Receive
7787,q3ade,Q3ADE Cluster Service
7789,pnet-conn,Propel Connector port
7794,pnet-enc,Propel Encoder port
7797,altbsdp,Alternate BSDP Service
7798,asr,Apple Software Restore
7799,ssp-client,Secure Server Protocol - client
7800,,Reserved
7801,rbt-wanopt,Riverbed WAN Optimization Protocol
7802,apc-7845,APC 7845
7810,apc-7846,APC 7846
7845,,Reserved
7846,,Reserved
7847,,Reserved
7869,,Reserved
7870,mipv6tls,TLS-based Mobile IPv6 Security
7871,,Reserved
7872,pss,Pearson
7878,ubroker,Universal Broker
7880,mevent,Multicast Event
7887,tnos-sp,TNOS Service Protocol
7900,tnos-dp,TNOS shell Protocol
7901,tnos-dps,TNOS Secure DiaguardProtocol
7902,qo-secure,QuickObjects secure port
7903,t2-drm,Tier 2 Data Resource Manager
7913,t2-brm,Tier 2 Business Rules Manager
7932,generalsync,"Encrypted, extendable, general-purpose synchronization protocol"
7933,supercell,Supercell
7962,micromuse-ncps,Micromuse-ncps
7967,quest-vista,Quest Vista
7979,,Reserved
7980,sossd-disc,Spotlight on SQL Server Desktop Agent Discovery
7981,,Reserved
7982,usicontentpush,USI Content Push Service
7997,irdmi2,iRDMI2
7998,irdmi,iRDMI
7999,vcom-tunnel,VCOM Tunnel
8000,teradataordbms,Teradata ORDBMS
8001,mcreport,Mulberry Connect Reporting Service
8002,,Reserved
8003,mxi,MXI Generation II for z/OS
8004,wpl-disc,World Programming analytics discovery
8005,warppipe,I/O oriented cluster computing software
8006,http-alt,HTTP Alternate
8007,,Reserved
8008,qbdb,QB DB Dynamic Port
8009,intu-ec-svcdisc,Intuit Entitlement Service and Discovery
8019,intu-ec-client,Intuit Entitlement Client
8020,oa-system,oa-system
8021,arca-api,ARCATrust vault API
8022,ca-audit-da,CA Audit Distribution Agent
8023,ca-audit-ds,CA Audit Distribution Server
8025,pro-ed,ProEd
8026,mindprint,MindPrint
8032,vantronix-mgmt,.vantronix Management
8033,ampify,Ampify Messaging Protocol
8034,enguity-xccetp,Xcorpeon ASIC Carrier Ethernet Transport
8040,,Reserved
8041,,Reserved
8042,,Reserved
8043,,Reserved
8044,senomix01,Senomix Timesheets Server
8051,senomix02,Senomix Timesheets Client [1 year assignment]
8052,senomix03,Senomix Timesheets Server [1 year assignment]
8053,senomix04,Senomix Timesheets Server [1 year assignment]
8054,senomix05,Senomix Timesheets Server [1 year assignment]
8055,senomix06,Senomix Timesheets Client [1 year assignment]
8056,senomix07,Senomix Timesheets Client [1 year assignment]
8057,senomix08,Senomix Timesheets Client [1 year assignment]
8058,aero,Asymmetric Extended Route Optimization (AERO)
8059,,Reserved
8060,,Reserved
8066,,Reserved
8067,gadugadu,Gadu-Gadu
8070,,Reserved
8074,http-alt,HTTP Alternate (see port 80)
8077,sunproxyadmin,Sun Proxy Admin Service
8080,us-cli,Utilistor (Client)
8081,us-srv,Utilistor (Server)
8082,d-s-n,Distributed SCADA Networking Rendezvous Port
8083,simplifymedia,Simplify Media SPP Protocol
8086,radan-http,Radan HTTP
8087,,Reserved
8088,,Reserved
8090,sac,SAC Port Id
8091,xprint-server,Xprint Server
8097,,Reserved
8100,,Reserved
8101,mtl8000-matrix,MTL8000 Matrix
8102,cp-cluster,Check Point Clustering
8115,,Reserved
8116,privoxy,Privoxy HTTP proxy
8117,apollo-data,Apollo Data Port
8118,apollo-admin,Apollo Admin Port
8121,paycash-online,PayCash Online Protocol
8122,paycash-wbp,PayCash Wallet-Browser
8128,indigo-vrmi,INDIGO-VRMI
8129,indigo-vbcp,INDIGO-VBCP
8130,dbabble,dbabble
8131,,Reserved
8132,isdd,i-SDD file transfer
8140,eor-game,Edge of Reality game data
8148,,Reserved
8149,patrol,Patrol
8153,patrol-snmp,Patrol SNMP
8160,,Reserved
8161,,Reserved
8162,vmware-fdm,VMware Fault Domain Manager
8181,,Reserved
8182,itach,Remote iTach Connection
8183,,Reserved
8184,,Reserved
8190,spytechphone,SpyTech Phone Service
8191,blp1,Bloomberg data API
8192,blp2,Bloomberg feed
8194,vvr-data,VVR DATA
8195,trivnet1,TRIVNET
8199,trivnet2,TRIVNET
8200,aesop,Audio+Ethernet Standard Open Protocol
8201,lm-perfworks,LM Perfworks
8202,lm-instmgr,LM Instmgr
8204,lm-dta,LM Dta
8205,lm-sserver,LM SServer
8206,lm-webwatcher,LM Webwatcher
8207,aruba-papi,Aruba Networks AP management
8208,rexecj,RexecJ Server
8211,hncp-udp-port,HNCP
8230,hncp-dtls-port,HNCP over DTLS
8231,synapse-nhttps,Synapse Non Blocking HTTPS
8232,,Reserved
8243,pando-sec,Pando Media Controlled Distribution
8270,synapse-nhttp,Synapse Non Blocking HTTP
8276,,Reserved
8280,blp3,Bloomberg professional
8282,,Reserved
8292,blp4,Bloomberg intelligent client
8293,tmi,Transport Management Interface
8294,amberon,Amberon PPC/PPS
8300,,Reserved
8301,tnp-discover,Thin(ium) Network Protocol
8313,tnp,Thin(ium) Network Protocol
8320,garmin-marine,Garmin Marine
8321,server-find,Server Find
8322,cruise-enum,Cruise ENUM
8351,cruise-swroute,Cruise SWROUTE
8376,cruise-config,Cruise CONFIG
8377,cruise-diags,Cruise DIAGS
8378,cruise-update,Cruise UPDATE
8379,m2mservices,M2m Services
8380,,Reserved
8383,cvd,cvd
8384,sabarsd,sabarsd
8400,abarsd,abarsd
8401,admind,admind
8402,,Reserved
8403,,Reserved
8404,,Reserved
8405,espeech,eSpeech Session Protocol
8415,espeech-rtp,eSpeech RTP Protocol
8416,,Reserved
8417,cybro-a-bus,CyBro A-bus Protocol
8423,pcsync-https,PCsync HTTPS
8442,pcsync-http,PCsync HTTP
8443,copy-disc,Port for copy discovery
8444,npmp,npmp
8445,,Reserved
8450,,Reserved
8457,,Reserved
8470,otv,Overlay Transport Virtualization (OTV)
8471,vp2p,Virtual Point to Point
8472,noteshare,AquaMinds NoteShare
8473,fmtp,Flight Message Transfer Protocol
8474,cmtp-av,CYTEL Message Transfer Audio and Video
8500,,Reserved
8501,,Reserved
8502,rtsp-alt,RTSP Alternate (see port 554)
8503,d-fence,SYMAX D-FENCE
8554,dof-tunnel,DOF Tunneling Protocol
8555,asterix,Surveillance Data
8567,canon-cpp-disc,Canon Compact Printer Protocol Discovery
8600,canon-mfnp,Canon MFNP Service
8609,canon-bjnp1,Canon BJNP Port 1
8610,canon-bjnp2,Canon BJNP Port 2
8611,canon-bjnp3,Canon BJNP Port 3
8612,canon-bjnp4,Canon BJNP Port 4
8613,,Reserved
8614,,Reserved
8615,,Reserved
8665,msi-cps-rm-disc,Motorola Solutions Customer Programming Software for Radio Management Discovery
8666,sun-as-jmxrmi,Sun App Server - JMX/RMI
8675,,Reserved
8686,,Reserved
8688,,Reserved
8699,dtp-net,DASGIP Net Services
8711,ibus,iBus
8732,,Reserved
8733,mc-appserver,MC-APPSERVER
8750,openqueue,OPENQUEUE
8763,ultraseek-http,Ultraseek HTTP
8764,amcs,Agilent Connectivity Service
8765,dpap,Digital Photo Access Protocol (iPhoto)
8766,,Reserved
8770,msgclnt,Message Client
8778,msgsrvr,Message Server
8786,acd-pm,Accedian Performance Measurement
8787,sunwebadmin,Sun Web Server Admin Service
8793,truecm,truecm
8800,pfcp,Destination Port number for PFCP
8804,hes-clip,HES-CLIP Interoperability protocol
8805,ssports-bcast,STATSports Broadcast Service
8807,dxspider,dxspider linking protocol
8808,cddbp-alt,CDDBP
8873,,Reserved
8880,secure-mqtt,Secure MQTT
8881,ddi-udp-1,NewsEDGE server UDP (UDP 1)
8883,ddi-udp-2,NewsEDGE server broadcast
8888,ddi-udp-3,NewsEDGE client broadcast
8889,ddi-udp-4,Desktop Data UDP 3: NESS application
8890,ddi-udp-5,Desktop Data UDP 4: FARM product
8891,ddi-udp-6,Desktop Data UDP 5: NewsEDGE/Web application
8892,ddi-udp-7,Desktop Data UDP 6: COAL application
8893,ospf-lite,ospf-lite
8894,jmb-cds1,JMB-CDS 1
8899,jmb-cds2,JMB-CDS 2
8900,manyone-http,manyone-http
8901,manyone-xml,manyone-xml
8910,wcbackup,Windows Client Backup
8911,dragonfly,Dragonfly System Service
8912,,Reserved
8913,,Reserved
8937,cumulus-admin,Cumulus Admin Port
8953,nod-provider,Network of Devices Provider
8954,,Reserved
8980,sunwebadmins,Sun Web Server SSL Admin Service
8981,http-wmap,webmail HTTP service
8989,https-wmap,webmail HTTPS service
8990,,Reserved
8991,,Reserved
8997,bctp,Brodos Crypto Trade Protocol
8998,cslistener,CSlistener
8999,etlservicemgr,ETL Service Manager
9000,dynamid,DynamID authentication
9001,,Reserved
9002,,De-Commissioned Port
9005,ogs-client,Open Grid Services Client
9006,,Reserved
9007,pichat,Pichat Server
9008,,Reserved
9009,d-star,D-Star Routing digital voice+data for amateur radio
9010,tambora,TAMBORA
9011,panagolin-ident,Pangolin Identification
9020,paragent,PrivateArk Remote Agent
9021,swa-1,Secure Web Access - 1
9022,swa-2,Secure Web Access - 2
9023,swa-3,Secure Web Access - 3
9024,swa-4,Secure Web Access - 4
9025,,Reserved
9026,,Reserved
9050,CardWeb-RT,CardWeb realtime device data
9051,glrpc,Groove GLRPC
9060,cisco-aqos,Required for Adaptive Quality of Service
9080,lcs-ap,LCS Application Protocol
9081,,Reserved
9082,aurora,IBM AURORA Performance Visualizer
9083,ibm-rsyscon,IBM Remote System Console
9084,net2display,Vesa Net2Display
9085,classic,Classic Data Server
9086,sqlexec,IBM Informix SQL Interface
9087,sqlexec-ssl,IBM Informix SQL Interface - Encrypted
9088,websm,WebSM
9089,xmltec-xmlmail,xmltec-xmlmail
9090,XmlIpcRegSvc,Xml-Ipc Server Reg
9091,,Reserved
9092,pdl-datastream,Printer PDL Data Stream
9093,bacula-dir,Bacula Director
9100,bacula-fd,Bacula File Daemon
9101,bacula-sd,Bacula Storage Daemon
9102,peerwire,PeerWire
9103,xadmin,Xadmin Control Service
9104,astergate-disc,Astergate Discovery Service
9105,,Reserved
9106,hexxorecore,"Multiple Purpose, Distributed Message Bus"
9107,mxit,MXit Instant Messaging
9111,,Reserved
9119,,Reserved
9122,dddp,Dynamic Device Discovery
9123,apani1,apani1
9131,apani2,apani2
9160,apani3,apani3
9161,apani4,apani4
9162,apani5,apani5
9163,sun-as-jpda,Sun AppSvr JPDA
9164,wap-wsp,WAP connectionless session service
9191,wap-wsp-wtp,WAP session service
9200,wap-wsp-s,WAP secure connectionless session service
9201,wap-wsp-wtp-s,WAP secure session service
9202,wap-vcard,WAP vCard
9203,wap-vcal,WAP vCal
9204,wap-vcard-s,WAP vCard Secure
9205,wap-vcal-s,WAP vCal Secure
9206,rjcdb-vcards,rjcdb vCard
9207,almobile-system,ALMobile System Service
9208,oma-mlp,OMA Mobile Location Protocol
9209,oma-mlp-s,OMA Mobile Location Protocol Secure
9210,serverviewdbms,Server View dbms access
9211,serverstart,ServerStart RemoteControl
9212,ipdcesgbs,IPDC ESG BootstrapService
9213,insis,Integrated Setup and Install Service
9214,acme,Aionex Communication Management Engine
9215,fsc-port,FSC Communication Port
9216,teamcoherence,QSC Team Coherence
9217,mon,Manager On Network
9222,,Reserved
9255,pegasus,Pegasus GPS Platform
9277,pegasus-ctl,Pegaus GPS System Control Interface
9278,pgps,Predicted GPS
9279,swtp-port1,SofaWare transport port 1
9280,swtp-port2,SofaWare transport port 2
9281,callwaveiam,CallWaveIAM
9282,visd,VERITAS Information Serve
9283,n2h2server,N2H2 Filter Service Port
9284,n2receive,n2 monitoring receiver
9285,cumulus,Cumulus
9286,armtechdaemon,ArmTech Daemon
9287,storview,StorView Client
