port,service,description
4355,qsnet-cond,QSNet Conductor
4356,qsnet-nucl,QSNet Nucleus
4357,omabcastltkm,OMA BCAST Long-Term Key Messages
4358,,Reserved
4359,nacnl,NavCom Discovery and Control Port
4360,afore-vdp-disc,AFORE vNode Discovery protocol
4361,,Reserved
4362,wxbrief,WeatherBrief Direct
4366,epmd,Erlang Port Mapper Daemon
4368,elpro_tunnel,ELPRO V2 Protocol Tunnel
4369,l2c-disc,LAN2CAN Discovery
4370,l2c-data,LAN2CAN Data
4371,remctl,Remote Authenticated Command Service
4372,,Reserved
4373,tolteces,Toltec EasyShare
4374,bip,BioAPI Interworking
4375,cp-spxsvr,Cambridge Pixel SPx Server
4376,cp-spxdpy,Cambridge Pixel SPx Display
4377,ctdb,CTDB
4378,xandros-cms,Xandros Community Management Service
4379,wiegand,Physical Access Control
4389,,Reserved
4390,,Reserved
4391,,Reserved
4392,apwi-disc,American Printware Discovery
4393,omnivisionesx,OmniVision communication for Virtual environments
4394,,Reserved
4395,ds-srv,ASIGRA Services
4396,ds-srvr,ASIGRA Televaulting DS-System Service
4400,ds-clnt,ASIGRA Televaulting DS-Client Service
4401,ds-user,ASIGRA Televaulting DS-Client Monitoring/Management
4402,ds-admin,ASIGRA Televaulting DS-System Monitoring/Management
4403,ds-mail,ASIGRA Televaulting Message Level Restore service
4404,ds-slp,ASIGRA Televaulting DS-Sleeper Service
4405,,Reserved
4406,,Reserved
4407,,Reserved
4408,,Reserved
4409,,Reserved
4410,smallchat,SmallChat
4411,avi-nms-disc,AVI Systems NMS
4412,,Reserved
4413,,Reserved
4414,pjj-player-disc,PJJ Media Player discovery
4415,,Reserved
4416,axysbridge,AXYS communication protocol
4417,,Reserved
4418,nvme,NVM Express over Fabrics storage access
4419,,Reserved
4420,,Reserved
4421,,Reserved
4422,netrockey6,NetROCKEY6 SMART Plus Service
4423,beacon-port-2,SMARTS Beacon Port
4425,,Reserved
4426,,Reserved
4427,,Reserved
4428,rsqlserver,REAL SQL Server
4429,,Reserved
4430,l-acoustics,L-ACOUSTICS management
4431,,Reserved
4432,netblox,Netblox Protocol
4433,saris,Saris
4441,pharos,Pharos
4442,nv-video,NV Video default
4443,upnotifyp,UPNOTIFYP
4444,n1-fwp,N1-FWP
4445,n1-rmgmt,N1-RMGMT
4446,asc-slmd,ASC Licence Manager
4447,privatewire,PrivateWire
4448,camp,Common ASCII Messaging Protocol
4449,ctisystemmsg,CTI System Msg
4450,ctiprogramload,CTI Program Load
4451,nssalertmgr,NSS Alert Manager
4452,nssagentmgr,NSS Agent Manager
4453,prchat-user,PR Chat User
4454,prchat-server,PR Chat Server
4455,prRegister,PR Register
4456,mcp,Matrix Configuration Protocol
4457,hpssmgmt,hpssmgmt service
4458,,Reserved
4484,icms,Integrated Client Message Service
4485,,Reserved
4486,awacs-ice,Apple Wide Area Connectivity Service ICE Bootstrap
4487,ipsec-nat-t,IPsec NAT-Traversal
4488,a25-fap-fgw,A25 (FAP-FGW)
4500,armagetronad,Armagetron Advanced Game Server
4502,ehs,Event Heap Server
4534,ehs-ssl,Event Heap Server SSL
4535,wssauthsvc,WSS Security Service
4536,swx-gate,Software Data Exchange Gateway
4537,worldscores,WorldScores
4538,sf-lm,SF License Manager (Sentinel)
4545,lanner-lm,Lanner License Manager
4546,synchromesh,Synchromesh
4547,aegate,Aegate PMR Service
4548,gds-adppiw-db,Perman I Interbase Server
4549,ieee-mih,MIH Services
4550,menandmice-mon,Men and Mice Monitoring
4551,,Reserved
4552,msfrs,MS FRS Replication
4553,rsip,RSIP Port
4554,dtn-bundle,DTN Bundle DCCP CL Protocol
4555,mtcevrunqss,Marathon everRun Quorum Service Server
4556,mtcevrunqman,Marathon everRun Quorum Service Manager
4557,hylafax,HylaFAX
4558,,Reserved
4559,kwtc,Kids Watch Time Control Service
4563,tram,TRAM
4566,bmc-reporting,BMC Reporting
4567,iax,Inter-Asterisk eXchange
4568,,Reserved
4569,,Reserved
4570,,Reserved
4573,l3t-at-an,HRPD L3T (AT-AN)
4590,hrpd-ith-at-an,HRPD-ITH (AT-AN)
4591,ipt-anri-anri,IPT (ANRI-ANRI)
4592,ias-session,IAS-Session (ANRI-ANRI)
4593,ias-paging,IAS-Paging (ANRI-ANRI)
4594,ias-neighbor,IAS-Neighbor (ANRI-ANRI)
4595,a21-an-1xbs,A21 (AN-1xBS)
4596,a16-an-an,A16 (AN-AN)
4597,a17-an-an,A17 (AN-AN)
4598,piranha1,Piranha1
4599,piranha2,Piranha2
4600,,Reserved
4601,,Reserved
4602,,Reserved
4603,,Reserved
4604,ventoso,Bidirectional single port remote radio VOIP and Control stream
4605,playsta2-app,PlayStation2 App Port
4621,playsta2-lob,PlayStation2 Lobby Port
4658,smaclmgr,smaclmgr
4659,kar2ouche,Kar2ouche Peer location service
4660,oms,OrbitNet Message Service
4661,noteit,Note It! Message Service
4662,ems,Rimage Messaging Server
4663,contclientms,Container Client Message Service
4664,eportcomm,E-Port Message Service
4665,mmacomm,MMA Comm Services
4666,mmaeds,MMA EDS Service
4667,eportcommdata,E-Port Data Service
4668,light,Light packets transfer protocol
4669,acter,Bull RSF action server
4670,rfa,remote file access server
4671,cxws,CXWS Operations
4672,appiq-mgmt,AppIQ Agent Management
4673,dhct-status,BIAP Device Status
4674,dhct-alerts,BIAP Generic Alert
4675,bcs,Business Continuity Servi
4676,traversal,boundary traversal
4677,mgesupervision,MGE UPS Supervision
4678,mgemanagement,MGE UPS Management
4679,parliant,Parliant Telephony System
4680,finisar,finisar
4681,spike,Spike Clipboard Service
4682,rfid-rp1,RFID Reader Protocol 1.0
4683,autopac,Autopac Protocol
4684,msp-os,Manina Service Protocol
4685,nst,Network Scanner Tool FTP
4686,mobile-p2p,Mobile P2P Service
4687,altovacentral,Altova DatabaseCentral
4688,prelude,Prelude IDS message proto
4689,mtn,monotone Netsync Protocol
4690,conspiracy,Conspiracy messaging
4691,netxms-agent,NetXMS Agent
4692,netxms-mgmt,NetXMS Management
4700,netxms-sync,NetXMS Server Synchronization
4701,,Reserved
4702,,Reserved
4703,trinity-dist,Trinity Trust Network Node Communication
4704,truckstar,TruckStar Service
4711,a26-fap-fgw,A26 (FAP-FGW)
4725,fcis-disc,F-Link Client Information Service Discovery
4726,capmux,CA Port Multiplexer
4727,gsmtap,GSM Interface Tap
4728,gearman,Gearman Job Queue System
4729,,Reserved
4730,ohmtrigger,OHM server trigger
4731,,Reserved
4732,ipdr-sp,IPDR/SP
4733,solera-lpn,SoleraTec Locator
4737,ipfix,IP Flow Info Export
4738,ipfixs,ipfix protocol over DTLS
4739,lumimgrd,Luminizer Manager
4740,sicct-sdp,SICCT Service Discovery Protocol
4741,openhpid,openhpi HPI service
4742,ifsp,Internet File Synchronization Protocol
4743,fmp,Funambol Mobile Push
4744,intelliadm-disc,IntelliAdmin Discovery
4745,,Reserved
4746,profilemac,Profile for Mac
4747,ssad,Simple Service Auto Discovery
4749,spocp,Simple Policy Control Protocol
4750,snap,Simple Network Audio Protocol
4751,simon-disc,Simple Invocation of Methods Over Network (SIMON) Discovery
4752,gre-in-udp,GRE-in-UDP Encapsulation
4753,gre-udp-dtls,GRE-in-UDP Encapsulation with DTLS
4754,,Reserved
4755,,Reserved
4756,bfd-multi-ctl,BFD Multihop Control
4774,cncp,Cisco Nexus Control Protocol
4784,,Reserved
4785,,Reserved
4786,,Reserved
4787,,Reserved
4788,,Reserved
4789,,Reserved
4790,iims,Icona Instant Messenging System
4791,iwec,Icona Web Embedded Chat
4800,ilss,Icona License System Server
4801,notateit-disc,Notateit Messaging Discovery
4802,aja-ntv4-disc,AJA ntv4 Video System Discovery
4803,htcp,HTCP
4804,varadero-0,Varadero-0
4827,varadero-1,Varadero-1
4837,varadero-2,Varadero-2
4838,opcua-udp,OPC UA Multicast Datagram Protocol
4839,quosa,QUOSA Virtual Library Service
4840,gw-asv,nCode ICE-flow Library AppServer
4841,opcua-tls,OPC UA TCP Protocol over TLS/SSL
4842,gw-log,nCode ICE-flow Library LogServer
4843,wcr-remlib,WordCruncher Remote Library Service
4844,contamac_icm,Contamac ICM Service
4845,wfc,Web Fresh Communication
4846,appserv-http,App Server - Admin HTTP
4847,appserv-https,App Server - Admin HTTPS
4848,sun-as-nodeagt,Sun App Server - NA
4849,derby-repli,Apache Derby Replication
4850,unify-debug,Unify Debugger
4851,phrelay,Photon Relay
4867,phrelaydbg,Photon Relay Debug
4868,cc-tracking,Citcom Tracking Service
4869,wired,Wired
4870,tritium-can,Tritium CAN Bus Bridge Service
4871,lmcs,Lighting Management Control System
4876,inst-discovery,Agilent Instrument Discovery
4877,,Reserved
4878,,Reserved
4879,socp-t,SOCP Time Synchronization Protocol
4880,socp-c,SOCP Control Protocol
4881,,Reserved
4882,hivestor,HiveStor Distributed File System
4883,abbs,ABBS
4884,,Reserved
4885,,Reserved
4888,lyskom,LysKOM Protocol A
4889,radmin-port,RAdmin Port
4894,hfcs,HFSQL Client/Server Database Engine
4899,,Reserved
4900,,Reserved
4901,,Reserved
4902,lutcp,LUTher Control Protocol
4912,bones,Bones Remote Control
4913,,Reserved
4914,,Reserved
4915,atsc-mh-ssc,ATSC-M/H Service Signaling Channel
4936,eq-office-4940,Equitrac Office
4937,eq-office-4941,Equitrac Office
4940,eq-office-4942,Equitrac Office
4941,munin,Munin Graphing Framework
4942,sybasesrvmon,Sybase Server Monitor
4949,pwgwims,PWG WIMS
4950,sagxtsds,SAG Directory Server
4951,,Reserved
4952,ccss-qmm,CCSS QMessageMonitor
4953,ccss-qsm,CCSS QSystemMonitor
4969,,Reserved
4970,,Reserved
4971,,Reserved
4980,,Reserved
4984,mrip,Model Railway Interface Program
4985,smar-se-port1,SMAR Ethernet Port 1
4986,smar-se-port2,SMAR Ethernet Port 2
4987,parallel,Parallel for GAUSS (tm)
4988,busycal,BusySync Calendar Synch. Protocol
4989,vrt,VITA Radio Transport
4990,hfcs-manager,HFSQL Client/Server Database Engine Manager
4991,commplex-main,
4999,commplex-link,
5000,rfe,radio free ethernet
5001,fmpro-internal,"FileMaker, Inc. - Proprietary name binding"
5002,avt-profile-1,RTP media data
5003,avt-profile-2,RTP control protocol
5004,wsm-server,wsm server
5005,wsm-server-ssl,wsm server ssl
5006,synapsis-edge,Synapsis EDGE
5007,winfs,Microsoft Windows Filesystem
5008,telelpathstart,TelepathStart
5009,telelpathattack,TelepathAttack
5010,nsp,NetOnTap Service
5011,fmpro-v6,"FileMaker, Inc. - Proprietary transport"
