protocol,port,service,description
TCP,707,uuidgen,W32.Nachi Worm / Borland DSJ
TCP,709,olsr,Entrust Key Management Service Handler
TCP,710,accessnetwork,Entrust Administration Service Handler
TCP,711,epp,Cisco TDP
TCP,729,lmp,IBM NetView DM/6000 Server/Client
TCP,730,iris-beep,IBM NetView DM/6000 send/tcp
TCP,731,elcsd,IBM NetView DM/6000 receive/tcp
TCP,740,agentx,(old) NETscout Control Protocol (old)
TCP,741,silc,netGW
TCP,742,borland-dsj,Network based Rev. Cont. Sys.
TCP,744,entrust-kmsh,Flexible License Manager
TCP,747,entrust-ash,Fujitsu Device Control
TCP,748,cisco-tdp,Russell Info Sci Calendar Manager
TCP,749,tbrpf,kerberos administration
TCP,750,iris-xpc,rfile
TCP,751,iris-xpcs,pump
TCP,752,iris-lwz,Kerberos password server
TCP,753,pana,Kerberos userreg server
TCP,754,netviewdm1,send
TCP,758,netviewdm2,nlogin
TCP,759,netviewdm3,con
TCP,760,netgw,"kreg, kerberos/4 registration"
TCP,761,netrcs,"kpwd, Kerberos/4 password"
TCP,762,flexlm,quotad
TCP,763,fujitsu-dev,cycleserv
TCP,764,ris-cm,omserv
TCP,765,kerberos-adm,webster
TCP,767,kerberos-iv,phone
TCP,769,pump,vid
TCP,770,qrh,cadlock
TCP,771,rrh,rtip
TCP,772,tell,cycleserv2
TCP,773,nlogin,submit
TCP,774,con,rpasswd
TCP,775,ns,entomb
TCP,776,rxe,wpages
TCP,777,quotad,Multiling HTTP
TCP,780,cycleserv,wpgs
TCP,781,omserv,HP performance data collector
TCP,782,webster,node HP performance data managed node
TCP,783,phonebook,HP performance data alarm manager
TCP,786,vid,Concert
TCP,787,cadlock,QSC
TCP,799,rtip,ControlIT / Remotely Possible
TCP,800,cycleserv2,mdbs_daemon / Remotely Possible
TCP,801,notify,device
TCP,808,acmaint_dbd,CCProxy
TCP,810,acmaint_transd,FCP
TCP,828,wpages,itm-mcell-s
TCP,829,multiling-http,PKIX-3 CA/RA
TCP,871,wpgs,SUP server
TCP,873,mdbs_daemon,rsync
TCP,886,device,ICL coNETion locate server
TCP,887,mbap-s,ICL coNETion server info
TCP,888,fcp-udp,CD Database Protocol
TCP,900,itm-mcell-s,Check Point Firewall-1 HTTP administration / OMG Initial Refs
TCP,901,pkix-3-ca-ra,Samba Web Administration Tool / Realsecure / SMPNAMERES/ NetDevil trojan
TCP,902,netconf-ssh,VMware Authentication Daemon / IDEAFARM-CHAT
TCP,903,netconf-beep,IDEAFARM-CATCH / NetDevil trojan
TCP,911,netconfsoaphttp,xact-backup
TCP,912,netconfsoapbeep,VMware Authentication Daemon
TCP,989,dhcp-failover2,FTP protocol data over TLS/SSL
TCP,990,gdoi,FTP protocol control over TLS/SSL
TCP,991,domain-s,Netnews Administration System
TCP,992,dlep,Telnet protocol over TLS/SSL
TCP,993,iscsi,IMAP4 protocol over TLS/SSL
TCP,994,owamp-control,IRC protocol over TLS/SSL
TCP,995,twamp-control,POP3 protocol over TLS/SSL
